"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000071073",-3.88687496113898,4.30422064290362,-10.8304916712634,1.1746208514285e-18,4.40672906073643e-16,31.947989196364
"ENSG00000113319",-2.6665059056692,0.683170563937302,-10.8287812173932,1.18487451389258e-18,4.40672906073643e-16,31.9394624995386
"ENSG00000162670",-2.77242112379548,0.282105115321308,-10.8173834214144,1.25552816024135e-18,4.59167573669599e-16,31.8826408033206
"ENSG00000272763",-4.7805634925861,1.49853763161556,-10.7617487598786,1.66586446907507e-18,5.99246951555971e-16,31.6052078335544
"ENSG00000170689",-4.78271318581531,1.07052532616006,-10.6897544454618,2.40237607161812e-18,8.50247389347039e-16,31.2460151939151
"ENSG00000184434",-5.75174527356453,1.72918862584215,-10.6702090322294,2.65351331743103e-18,9.24222900387128e-16,31.148466526867
"ENSG00000184956",7.6899047673206,6.65912040250729,10.6176116063019,3.46775592835046e-18,1.18895263024678e-15,30.8858931502899
"ENSG00000125255",-4.26857937143242,0.407225047813105,-10.5837275433534,4.12044622185504e-18,1.39099925301793e-15,30.7166903557749
"ENSG00000182600",-3.36584534926754,2.0213974037897,-10.534744903326,5.28737052901923e-18,1.75789047754953e-15,30.4720276236687
"ENSG00000177133",5.09787361720241,3.91636622572604,10.507101484072,6.08652814216169e-18,1.98161875420045e-15,30.3339201872153
"ENSG00000175329",-6.71258466315899,1.60628892716674,-10.5053545725057,6.14091397191042e-18,1.98161875420045e-15,30.3251918204956
"ENSG00000154269",-4.55060733710409,1.2740538896379,-10.4765291250141,7.1119222128489e-18,2.26169433502237e-15,30.1811544384011
"ENSG00000019102",4.94748050836442,7.71284007439126,10.4181524361219,9.57477147105412e-18,2.95914380830057e-15,29.8893852644484
"ENSG00000160181",8.90295704472951,11.078566169581,10.4125763832884,9.8506680163182e-18,3.00212789280653e-15,29.8615114201921
"ENSG00000143627",-2.13099449655222,0.269316561267347,-10.3407005398535,1.42076117249753e-17,4.27065238467305e-15,29.5021505168036
"ENSG00000256643",-1.31084793206785,0.0922553255974324,-10.2988089853536,1.75891520577022e-17,5.21565896759673e-15,29.2926526217438
"ENSG00000197273",-6.55083393347072,1.12313146803939,-10.277020586766,1.96552001864237e-17,5.75058743587595e-15,29.1836764331769
"ENSG00000179546",-4.18092959945757,1.42132256732887,-10.2705153130726,2.03178978029574e-17,5.86625830908282e-15,29.1511381885419
"ENSG00000196660",-2.63522928491526,0.622217892931248,-10.2417036452868,2.3532354430261e-17,6.70610978263917e-15,29.0070184969635
"ENSG00000153250",3.2299754719308,3.73033082025698,10.1959528719367,2.97142753732954e-17,8.29976413879938e-15,28.7781400657122
"ENSG00000136250",-4.68767079391293,1.26631682309154,-10.1948546989886,2.98811177580618e-17,8.29976413879938e-15,28.7726458328944
"ENSG00000100373",-2.13020900808862,0.325551751636418,-10.1901089514816,3.06129706896842e-17,8.39675519804675e-15,28.7489023479573
"ENSG00000111802",-2.81443908734862,5.47583821255273,-10.1370204469527,4.01299986088566e-17,1.08712661663474e-14,28.4832750383127
"ENSG00000214357",-3.11128030848767,1.76256708137797,-10.1067860986503,4.68197137015725e-17,1.25288411921171e-14,28.3319836179308
"ENSG00000012504",-5.44069620073707,1.95982816200544,-9.9538756280958,1.02122826416538e-16,2.66771569054536e-14,27.5667206101513
"ENSG00000158865",-2.16780841139815,0.261546748043256,-9.92544137736649,1.18061617385707e-16,3.04779537681713e-14,27.4244070806537
"ENSG00000101842",7.20984397322891,6.68320098112825,9.85767580729719,1.66808820620874e-16,4.25614645451608e-14,27.0852414438227
"ENSG00000146039",-3.37098398816511,1.01808466115184,-9.82759585104552,1.94468365570129e-16,4.90484982264983e-14,26.9346955996092
"ENSG00000197208",-2.45877157068666,0.732089184382553,-9.78670832433376,2.39560856079533e-16,5.90638636511594e-14,26.7300668524434
"ENSG00000180745",-6.08401171279329,3.43997125581808,-9.77370204698046,2.55990693516465e-16,6.24133754203533e-14,26.6649770007988
"ENSG00000042980",4.87273146168233,5.29900424831132,9.76909458990729,2.62077275061616e-16,6.31951829305169e-14,26.641919317179
"ENSG00000172782",-2.72821807516469,0.495638424469509,-9.7318214435147,3.16945088807804e-16,7.47820009001038e-14,26.4553953733596
"ENSG00000103942",5.00571473921186,4.29714569454514,9.71027019783741,3.5376466226708e-16,8.25814679162396e-14,26.3475539362525
"ENSG00000122592",-3.06589193718957,0.634146660460051,-9.70704497384519,3.59631155198068e-16,8.3067225668539e-14,26.3314155056584
