"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000164849",-1.07459894263687,1.84949690713318,-8.26045883470999,5.51910876531546e-13,8.08204306342871e-11,19.1674165298818
"ENSG00000148584",1.65335751278996,1.54468694024089,8.25910900221641,5.55663738903334e-13,8.08204306342871e-11,19.160805265655
"ENSG00000198788",2.16909943445911,1.86184590809336,8.25893010702104,5.56163014436374e-13,8.08204306342871e-11,19.15992908033
"ENSG00000243766",1.28011464371309,0.784250980351649,8.22014097180136,6.75678196780404e-13,9.69046187709308e-11,18.9700319520858
"ENSG00000148803",1.7847571437688,4.24086440143829,8.1809164224221,8.22536455805502e-13,1.16444628708001e-10,18.7781738307651
"ENSG00000144199",-1.25567855587899,3.89623498163812,-8.15470385966361,9.37981887869467e-13,1.31096411245349e-10,18.6500590569686
"ENSG00000148459",1.16160069928898,3.52933468553958,8.14841110677613,9.68016323499788e-13,1.34437861940227e-10,18.6193149231861
"ENSG00000139540",2.72804970886725,2.70757875757275,8.14423710881713,9.88464420228477e-13,1.3641430674889e-10,18.598924831404
"ENSG00000166866",2.38485833005118,4.0606615061779,8.14245246117338,9.97337965855145e-13,1.36778668654747e-10,18.5902074061246
"ENSG00000237438",-1.0750435851532,1.07968037525602,-8.12619039898968,1.08193793024351e-12,1.47459403747413e-10,18.5107898779295
"ENSG00000124253",2.99590503380737,2.98159248994451,8.11728063294006,1.13127977303421e-12,1.53232543578332e-10,18.4672914407528
"ENSG00000114455",2.45903734157611,3.48921304990988,8.11594156537581,1.13888660952408e-12,1.53316496152067e-10,18.4607547915551
"ENSG00000213996",2.61378666763409,2.85372052428788,8.09834087655476,1.24373307663536e-12,1.65401423640059e-10,18.3748572667254
"ENSG00000071073",1.25453120968773,4.30422064290362,8.08625395458179,1.32124457409212e-12,1.74651022224719e-10,18.3158906682262
"ENSG00000170412",-1.1079658036926,6.69336318762703,-8.07780047192769,1.37829440091504e-12,1.80459102877439e-10,18.2746606181937
"ENSG00000015532",-1.25970623607323,3.93304674623128,-8.07612995064612,1.38985500552737e-12,1.80459102877439e-10,18.2665140512567
"ENSG00000108511",1.86258847409463,1.92972850888853,8.05550626718828,1.54078299429168e-12,1.98878830845543e-10,18.1659678736322
"ENSG00000188488",-2.73153475899226,2.89564410566995,-8.04025363574573,1.66279652367332e-12,2.13372772625519e-10,18.0916413331645
"ENSG00000205189",-1.22241222076843,1.46751266916084,-8.01933307841251,1.84593267930334e-12,2.34514933191749e-10,17.9897428255884
"ENSG00000177191",1.60412963890549,2.32292340526595,7.98347682154959,2.20766584892053e-12,2.78406963924501e-10,17.815227741886
"ENSG00000123843",1.77708184845828,2.93434939082497,7.95780757623112,2.50915460644189e-12,3.12831701870195e-10,17.6903973317504
"ENSG00000135821",-1.47205709540185,8.3765854191391,-7.9500374603138,2.608246254042e-12,3.23348856228495e-10,17.6526283225419
"ENSG00000003436",1.48777230735247,4.84227630561057,7.93913848522116,2.75383279340983e-12,3.37582977574256e-10,17.5996642446552
