"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000121207",-1.57434342517607,0.314957800520738,-9.4629030767571,1.24841442215197e-15,4.2803058852001e-13,25.1141141518654
"ENSG00000019102",4.40864329531732,7.71284007439126,9.42844664296774,1.48798756213481e-15,5.0232170886037e-13,24.9426342697506
"ENSG00000160191",-3.29628100344472,2.3248870865573,-9.38469031587447,1.85950738461067e-15,6.18229856674423e-13,24.7249155152805
"ENSG00000143627",-1.89980024701238,0.269316561267347,-9.36276544604225,2.07917835154372e-15,6.74406383350001e-13,24.6158437422369
"ENSG00000105784",-2.43851958362471,0.733842013427661,-9.3617513548904,2.08994367533154e-15,6.74406383350001e-13,24.6107991837338
"ENSG00000158865",-2.00494701412836,0.261546748043256,-9.32310127464652,2.54451903535467e-15,8.09193930330253e-13,24.4185591146999
"ENSG00000136250",-4.21487798363896,1.26631682309154,-9.30973916518271,2.72364194213615e-15,8.53783930518478e-13,24.3521088081717
"ENSG00000137819",-3.90186853509817,1.22227072597284,-9.28824641711807,3.03854868091219e-15,9.39082728243044e-13,24.2452368838401
"ENSG00000198682",-3.65895959093659,3.17423059873672,-9.21134624153953,4.49385595154981e-15,1.3695650159008e-12,23.8629873693508
"ENSG00000156127",2.63550120911863,2.89358759688366,9.20387814943535,4.66787109392803e-15,1.40311089608305e-12,23.8258774022283
"ENSG00000141449",-1.65869988022157,0.457324316712014,-9.17465228599925,5.41601758607862e-15,1.60599559312599e-12,23.680671584149
"ENSG00000198515",-2.5624231351901,1.40295370030475,-9.15230458249321,6.06787846549908e-15,1.77529942891262e-12,23.5696630433102
"ENSG00000107611",-2.66080810295499,0.220497678367228,-9.08793458191413,8.41687698860244e-15,2.4301517336961e-12,23.2500380541303
"ENSG00000080823",2.40735121432218,3.95408984799354,9.05983839547828,9.7085658875714e-15,2.76668910741532e-12,23.1105885383557
"ENSG00000157703",-1.56774207790402,0.342303331683569,-8.99527094681557,1.34766557735274e-14,3.79125971331427e-12,22.7902707658307
"ENSG00000214357",-2.71948474494888,1.76256708137797,-8.97199724507846,1.51669379591698e-14,4.21276100807674e-12,22.6748640586562
"ENSG00000115474",-4.55198206578118,0.781579529877424,-8.88470375760605,2.36185877624094e-14,6.39830458358703e-12,22.2422766227048
"ENSG00000160181",7.4488094167857,11.078566169581,8.84788268271193,2.84664386931968e-14,7.52577185837129e-12,22.059944697545
"ENSG00000138744",-2.31009340488072,3.80121491762933,-8.80059573764113,3.61746353345243e-14,9.44976218030317e-12,21.8259145685121
"ENSG00000137634",-1.08751385675276,0.138411342266406,-8.73629115037646,5.00986490352947e-14,1.29331135974291e-11,21.507903524886
"ENSG00000184956",6.22424666932017,6.65912040250729,8.72813066806187,5.22112601567343e-14,1.33217637397584e-11,21.4675675728373
"ENSG00000081800",-1.9009937435195,0.0940577961192263,-8.70840010830577,5.76935094895594e-14,1.44424183485586e-11,21.3700625481646
"ENSG00000138792",-4.0992992913868,0.769398115790536,-8.70762664487633,5.79197381704034e-14,1.44424183485586e-11,21.3662408060084
"ENSG00000255474",-2.53752079833452,0.822068620182999,-8.69785144280411,6.08562669129556e-14,1.50041467963032e-11,21.3179445967417
"ENSG00000144410",-3.60552912212169,0.444309154974565,-8.69460537041859,6.18638764550667e-14,1.50831004561503e-11,21.3019083412594
"ENSG00000154269",-3.65512180958586,1.2740538896379,-8.54630695635185,1.3088423365243e-13,3.15603597696183e-11,20.5701641011802
"ENSG00000247699",-1.10217949600686,0.0765551170998716,-8.53093786800495,1.41439961694102e-13,3.37349682549312e-11,20.4944326360841
"ENSG00000122592",-2.64516423016588,0.634146660460051,-8.50572642761962,1.60623797315779e-13,3.78985804784962e-11,20.3702474457995
"ENSG00000198944",-2.47318523936427,3.07362387448305,-8.48049727352225,1.8241590011603e-13,4.21342325920637e-11,20.2460316092613
"ENSG00000197273",-5.31815509836806,1.12313146803939,-8.47344872889918,1.89014425855818e-13,4.32035786099397e-11,20.2113383617664
"ENSG00000237009",-1.22518842605157,0.31437603891219,-8.46757903714954,1.94690494211832e-13,4.40422011803116e-11,20.1824509466851
